Symbol,OHLC Code,Type,Link
ACRS 02/19/21 C20 US Equity,ACRS US 02/19/21 C20 Equity,OPT,<a href='https://ucapbh.decafhub.com/resource/details/14610'>14610</a>
ADIFOBU BA Equity,ADIFOBU BM Equity,SHRE,<a href='https://ucapbh.decafhub.com/resource/details/11594'>11594</a>
AS1 FP 03/19/21 C38.94 Equity,AS1 FP 03/19/21 C42 Equity,OPT,<a href='https://ucapbh.decafhub.com/resource/details/14586'>14586</a>
DBX 02/19/21 C25 US Equity,DBX US 02/19/21 C25 Equity,OPT,<a href='https://ucapbh.decafhub.com/resource/details/14664'>14664</a>
ESU1P    3800 Index,ESU1P 3800 Index,OPT,<a href='https://ucapbh.decafhub.com/resource/details/15375'>15375</a>
ESZ1C    4620 Index,ESZ1C 4620 Index,OPT,<a href='https://ucapbh.decafhub.com/resource/details/18213'>18213</a>
ESZ1C    4725 Index,ESZ1C 4725 Index,OPT,<a href='https://ucapbh.decafhub.com/resource/details/18409'>18409</a>
ESZ1P    4120 Index,ESZ1P 4120 Index,OPT,<a href='https://ucapbh.decafhub.com/resource/details/17908'>17908</a>
ESZ1P    4200 Index,ESZ1P 4200 Index,OPT,<a href='https://ucapbh.decafhub.com/resource/details/18212'>18212</a>
ESZ1P    4300 Index,ESZ1P 4300 Index,OPT,<a href='https://ucapbh.decafhub.com/resource/details/18214'>18214</a>
ESZ1P    4500 Index,ESZ1P 4500 Index,OPT,<a href='https://ucapbh.decafhub.com/resource/details/18410'>18410</a>
ESZ1P    4600 Index,ESZ1P 4600 Index,OPT,<a href='https://ucapbh.decafhub.com/resource/details/18379'>18379</a>
FCX C30 Equity,FCX US Equity,SHRE,<a href='https://ucapbh.decafhub.com/resource/details/14627'>14627</a>
FRELU0000989 Corp,FRELU0000989@EXAD Corp,SPMF,<a href='https://ucapbh.decafhub.com/resource/details/15099'>15099</a>
FRELU0001037 Corp,FRELU0001037@EXAD Corp,SPMF,<a href='https://ucapbh.decafhub.com/resource/details/15122'>15122</a>
FRELU0002696 Corp,FRELU0002696@EXAD Corp,SPMF,<a href='https://ucapbh.decafhub.com/resource/details/15907'>15907</a>
FRELU0004932@EXAD Corp,FRELU0003702@EXAD Corp,SPMF,<a href='https://ucapbh.decafhub.com/resource/details/18538'>18538</a>
FREXA0024481 Corp,FREXA0024481@EXAD Corp,SPMF,<a href='https://ucapbh.decafhub.com/resource/details/12625'>12625</a>
FXFWD-2206-ATPDJRZ8,EUR/USD 06/10/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27910'>27910</a>
FXFWD-2206-QWSISMS3,USD/CHF 06/10/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27911'>27911</a>
FXFWD-2206-WNSLD6WP,EUR/USD 07/12/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27912'>27912</a>
FXFWD-2206-XKZMY0OR,USD/CHF 07/12/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27913'>27913</a>
FXFWD-2207-BLCD8YTB,EUR/USD 09/27/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27914'>27914</a>
FXFWD-2207-OY8WSOUI,EUR/USD 08/02/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27915'>27915</a>
FXFWD-2207-QK6JD567,USD/CHF 08/02/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27916'>27916</a>
FXFWD-2207-TOPUNUCU,USD/CHF 09/27/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27917'>27917</a>
FXFWD-2207-TYVKTUEJ,USD/CHF 08/02/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27918'>27918</a>
FXFWD-2207-ZQ4ZLEYK,EUR/USD 08/02/2022 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27919'>27919</a>
